"","year","Country.Code","Country.Name","Region","IncomeGroup","NY.GNP.PCAP.CD","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","SH.XPD.EXTR.ZS","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR"
"11",2000,"AFG","Afghanistan","South Asia","Low income",NA,12.4,NA,23.4,21.3,31.2,NA,NA,1900,500,1800,500,100,100,100,1000,0.01,0.1,0.1,0.1,27.1828665568369,153.8456,89393,11000,42488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2.94325006008148,22.334810256958,17.297119140625,1.28399002552032
"12",2001,"AFG","Afghanistan","South Asia","Low income",NA,NA,0.400000006,23.9,21.7,32.2,0.215,0.186,2100,500,2000,500,200,100,100,1000,0.01,0.1,0.1,0.1,27.3809523809524,150.0468,89702,11000,42876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.25032997131348,22.2023792266846,13.0487403869629,1.53391498327255
"13",2002,"AFG","Afghanistan","South Asia","Low income",NA,NA,NA,24.5,22.1,33.2,NA,NA,2300,500,2200,500,200,100,100,1100,0.01,0.1,0.1,0.1,27.51228226887,146.248,90059,10000,43497,NA,15.48190406,75.98351391,7.2123498103069,92.90585908,0.550723349693097,8.98702764,7.09414092,7.76307316,332660895.501474,99.5332973,92.47226492,0,NA,3.06365990638733,73.3095932006836,19.4873104095459,1.91763997077942
"14",2003,"AFG","Afghanistan","South Asia","Low income",NA,14.3,0.4,25.1,22.5,34.2,NA,NA,2600,500,2500,500,200,100,100,1300,0.01,0.1,0.1,0.1,27.632109721662,140.4764,90292,9800,43979,4.2783668,19.33236793,89.44017773,8.20815301855031,93.1046197,0.607900411449694,5.57518482,6.8953803,8.81605343,435120719.370515,99.55380639,92.68919283,0,NA,3.11731004714966,99.2484893798828,13.3170795440674,1.25683999061584
"15",2004,"AFG","Afghanistan","South Asia","Low income",220,NA,NA,25.7,22.9,35.1,NA,NA,2800,500,2700,500,200,100,100,1500,0.01,0.1,0.1,0.1,27.7859237536657,134.7048,89873,9400,44213,6.23398506,20.89000224,87.52090345,7.81724842469336,88.96675659,0.969458795306644,6.98490607,11.03324341,8.78670722,490911919.220818,99.54271982,88.55992924,0,NA,3.26430010795593,111.260559082031,18.6647891998291,1.25602996349335
"16",2005,"AFG","Afghanistan","South Asia","Low income",250,NA,NA,26.3,23.3,36.1,0.5,0.2,3100,500,3000,500,200,200,100,1700,0.01,0.1,0.1,0.1,27.9635258358663,128.9332,88704,8900,43987,13.37485275,21.89580296,88.32306226,7.26618517502382,90.06062465,0.801919174976177,5.49062004,9.93937535,8.06810435,534256453.67157,99.51839287,89.62688627,0,NA,3.5188399553299,104.171371459961,19.7837009429932,2.30757999420166
"17",2006,"AFG","Afghanistan","South Asia","Low income",280,18.9,NA,26.9,23.7,37.1,0.374,0.136,3300,500,3200,500,200,200,100,1900,0.01,0.1,0.1,0.1,28.1486146095718,123.1616,88007,8500,44007,24.60711012,22.18140928,86.85601592,6.37155151704114,85.70858086,1.06242003295885,6.29710557,14.29141914,7.43397155,558608071.453688,99.44692333,85.23454669,0,NA,3.41866993904114,107.817420959473,29.9304599761963,3.49908995628357
"18",2007,"AFG","Afghanistan","South Asia","Low income",340,NA,0.42,27.4,24.2,38.1,0.416,0.146,3500,1000,3400,500,200,200,100,2100,0.01,0.1,0.1,0.1,28.3617146212566,117.39,86945,8000,43856,21.26280978,26.98894729,88.71198979,6.20618027566277,92.23972169,0.522136074337234,2.94919278,7.76027831,6.72831635,698407670.927007,99.48917338,91.76853664,0,NA,3.51721000671387,104.690818786621,30.0831604003906,3.70424008369446
"19",2008,"AFG","Afghanistan","South Asia","Low income",370,24,0.42,28,24.6,39.1,0.413,0.145,3800,1000,3700,1000,500,200,100,2400,0.01,0.1,0.1,0.1,28.509485094851,111.4708,85513,7500,43469,21.07825209,33.80518937,111.46310638,6.94250928983089,83.36252977,1.38558405016911,6.92608989,16.63747023,8.32809334,896809113.134828,99.71497974,83.12492967,0,NA,3.66291999816895,106.453773498535,40.2233810424805,3.66946494579315
"20",2009,"AFG","Afghanistan","South Asia","Low income",470,NA,0.4,28.7,25,40.1,0.5,0.175,4200,1000,4000,1000,500,200,100,2600,0.01,0.1,0.1,0.1,28.6072144288577,105.5516,83723,7000,42791,21.11617558,43.52543981,148.00120214,6.83284386338264,72.54342459,2.58612677661736,12.7289712,27.45657541,9.41897064,1184209306.91487,99.68211644,72.31282097,1,NA,4.04366016387939,102.225288391113,46.7327613830566,3.9033899307251
"21",2010,"AFG","Afghanistan","South Asia","Low income",520,34.3,0.4,29.3,25.4,41.1,0.073,0.194,4500,1000,4300,1000,500,200,100,2800,0.01,0.1,0.1,0.1,28.6342592592593,99.6324,81775,6400,42311,25.54378668,52.8857608,153.44620572,6.34234622663813,68.95561448,2.85537650336187,14.40415287,31.04438552,9.19772273,1478802590.78948,99.62761787,68.69883609,1,2,4.51115989685059,105.520927429199,53.2468299865723,4.00162982940674
"22",2011,"AFG","Afghanistan","South Asia","Low income",570,38.6,NA,29.9,25.8,42.1,NA,0.234,4900,1000,4700,1000,500,200,100,3100,0.01,0.1,0.1,0.1,28.6261165461506,93.7132,78764,5900,41052,20.81768156,52.38254929,141.0557326,5.79189922951505,73.57603146,2.08009266048495,10.17410763,26.42396854,7.87199189,1509097610.44718,99.56381683,73.25510519,2,1,4.08791017532349,102.809631347656,54.6161804199219,3.75598001480103
"23",2012,"AFG","Afghanistan","South Asia","Low income",720,NA,0.5,30.5,26.2,43.1,NA,0.225,5300,1000,5200,1000,500,200,100,3300,0.01,0.1,0.1,0.1,28.5908385093168,87.794,75586,5400,39588,21.64744429,58.16803071,160.36802664,5.59834667313982,65.71668103,2.92056600686017,11.668976,34.28331897,8.51891268,1729149589.84956,99.56381683,65.43003593,3,1,3.12561988830566,108.928520202637,56.6773414611816,5.46089005470276
"24",2013,"AFG","Afghanistan","South Asia","Low income",730,NA,NA,31.1,26.6,44.1,NA,0.266,5900,1000,5600,1000,500,500,100,3500,0.01,0.1,0.1,0.1,28.5385296722764,82.2638,72378,5000,38263,19.35046696,53.36597308,156.52934858,5.48447167066433,67.41932771,2.65039388933567,10.591285,32.58067229,8.13486556,1637401469.0981,99.56381683,67.12525595,4,3,4.54436016082764,110.065437316895,56.6886596679688,5.87174987792969
"25",2014,"AFG","Afghanistan","South Asia","Low income",670,NA,NA,31.8,27,45.1,NA,NA,6400,1000,6200,1000,500,500,100,3700,0.01,0.1,0.1,0.1,28.5320356853204,76.7336,69579,4600,37038,22.99570451,56.57452735,166.51672658,5.24944009755562,64.15625061,2.93283372244438,11.99862788,35.84374939,8.18227382,1789311203.25348,99.56381683,63.87641185,4,4,4.80434989929199,111.744132995605,55.6561584472656,8.66279983520508
"26",2015,"AFG","Afghanistan","South Asia","Low income",630,NA,NA,31.9,27,45.1,NA,NA,6900,1000,6700,1000,500,500,100,4000,0.01,0.1,0.1,0.1,28.5756942370857,76.7336,67399,4300,36242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4.77283990383148,111.744132995605,30.3352699279785,10.8493299484253
"27",1990,"AGO","Angola","Sub-Saharan Africa","Lower middle income",550,NA,1.2913000584,22.4,7.9,64.6,NA,0.0421000011,28000,6200,26000,5400,1100,1800,1000,5900,0.1,0.3,0.2,0.5,54.1673050406006,228.642,73548,6800,32635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28710007667542,78.2584991455078,10.3700199127197,0.568279981613159
"28",1991,"AGO","Angola","Sub-Saharan Africa","Lower middle income",880,NA,NA,22.8,7.9,64.6,NA,NA,33000,7400,31000,6400,1400,2200,1000,7000,0.12,0.4,0.2,0.5,55.1751719724844,228.006,75469,7100,33546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06790506839752,71.9317626953125,11.0046501159668,0.572730004787445
"29",1992,"AGO","Angola","Sub-Saharan Africa","Lower middle income",590,NA,NA,23.1,7.9,64.6,NA,NA,40000,8800,37000,7500,1600,2700,1200,8300,0.13,0.4,0.2,0.6,56.0114708404803,227.37,77738,7300,34674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98497009277344,69.3685607910156,12.4260396957397,0.535279989242554
"30",1993,"AGO","Angola","Sub-Saharan Africa","Lower middle income",480,NA,NA,23.5,7.9,64.6,NA,NA,48000,10000,44000,8800,2000,3300,1500,9800,0.15,0.5,0.3,0.7,56.7158122548357,225.38,80160,7600,35782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63288497924805,93.9734764099121,36.7490501403809,4.89933013916016
"31",1994,"AGO","Angola","Sub-Saharan Africa","Lower middle income",370,NA,NA,24.2,7.9,65.8,NA,NA,56000,12000,52000,10000,2400,4000,1700,12000,0.17,0.5,0.3,0.8,57.2781426607607,223.39,82565,7700,36849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68398499488831,93.698657989502,33.9061708450318,4.75901985168457
"32",1995,"AGO","Angola","Sub-Saharan Africa","Lower middle income",460,NA,NA,25.5,8.7,67,NA,NA,66000,13000,61000,11000,2800,4800,2000,14000,0.19,0.6,0.3,0.9,57.7242429701446,221.4,84777,7800,38019,4.59513251,18.00618425,91.4636206,1.79975973785657,27.86489777,4.65911821214343,5.17679801,72.13510223,6.45887795,234848645.386022,72.69391399,20.25608482,NA,NA,4.45272493362426,89.8027420043945,37.9645004272461,10.1358003616333
"33",1996,"AGO","Angola","Sub-Saharan Africa","Lower middle income",460,22.5,NA,26.8,9.4,68.2,NA,NA,76000,15000,71000,13000,3300,5600,2300,16000,0.2,0.7,0.4,1.1,58.0883186041242,219.41,86751,7800,39124,4.55191649,13.75622193,60.22757641,1.07495030577892,38.19014653,1.73978177422108,2.81774827,61.80985347,2.81473208,184674707.021845,55.17276468,21.07055968,NA,NA,4.35682010650635,92.3036272639769,34.691665649414,10.8607997894287
"34",1997,"AGO","Angola","Sub-Saharan Africa","Lower middle income",440,NA,NA,28.1,10.2,69.4,1.19,0.077,87000,17000,81000,14000,3900,6600,2600,20000,0.21,0.7,0.4,1.2,58.3553455609708,217.42,88500,7700,40093,13.0350989,19.27911944,79.03869714,1.46333985925588,42.01909381,2.01921944074412,4.09428019,57.98090619,3.4825593,266087861.649024,66.71993643,28.03511268,NA,NA,3.52659499645234,93.2809066772461,35.3315715789795,11.3603096008301
"35",1998,"AGO","Angola","Sub-Saharan Africa","Lower middle income",430,NA,NA,29.4,11,70.6,NA,NA,99000,18000,91000,15000,4500,7600,3000,23000,0.23,0.8,0.4,1.3,58.5512549436344,215.1712,90296,7600,40838,7.32840213,15.14206043,79.53522966,1.92089672075927,57.58770553,1.41470538924073,3.29001253,42.41229447,3.33560211,214831162.120842,74.33261559,42.80644778,NA,NA,2.5914900302887,78.3684005737305,12.0281200408936,0.598010003566742
"36",1999,"AGO","Angola","Sub-Saharan Africa","Lower middle income",360,NA,NA,30.8,11.7,71.8,NA,NA,110000,19000,1e+05,16000,5300,8700,3300,27000,0.23,0.9,0.4,1.4,58.6935929611437,212.9224,92221,7400,41926,2.16156344,14.23259059,82.08157415,1.24604639329818,36.8888062,2.13179778670182,2.6157028,63.1111938,3.37784418,207824045.868018,61.14668122,22.55628073,NA,NA,4.6006600856781,93.8105697631836,12.0243301391602,0.545960009098053
"37",2000,"AGO","Angola","Sub-Saharan Africa","Lower middle income",390,NA,NA,32.1,12.5,73,NA,NA,120000,21000,110000,17000,6100,10000,3600,32000,0.24,0.9,0.5,1.5,58.7963773955085,210.6736,94432,7200,43116,3.07578499,16.8991726,69.20173589,1.11006719606174,39.82612936,1.67721646393826,2.86214414,60.17387064,2.78728366,254478522.684224,56.54908681,22.52131246,0,NA,2.60753011703491,95.688102722168,13.7794504165649,5.02989506721497
"38",2001,"AGO","Angola","Sub-Saharan Africa","Lower middle income",430,44.7,NA,33.5,13.3,74.2,NA,NA,140000,22000,130000,18000,7000,11000,4000,38000,0.25,0.9,0.5,1.6,58.8706546114408,208.4248,96091,7000,44214,5.8242167,30.91774474,137.88117252,2.57215432567534,47.7690919,2.81240339432466,5.77495563,52.2309081,5.38455772,481166399.64433,80.49705296,38.45271121,0,NA,5.35444021224976,96.5405197143555,15.5735902786255,6.42691993713379
"39",2002,"AGO","Angola","Sub-Saharan Africa","Lower middle income",510,NA,NA,34.8,14,75.4,NA,NA,150000,23000,140000,19000,7900,13000,4300,44000,0.25,1,0.5,1.7,58.9239224761354,206.176,98109,6800,45094,7.75347013,28.19059742,103.88967134,1.9487032082189,53.62536341,1.6852175417811,3.37718946,46.37463659,3.63392075,454141954.414473,74.68002223,40.04743331,0,NA,4.58342003822327,97.644172668457,16.8075695037842,0.796679973602295
"40",2003,"AGO","Angola","Sub-Saharan Africa","Lower middle income",620,NA,NA,36.2,14.8,76.6,NA,NA,160000,24000,150000,20000,8900,14000,4600,51000,0.25,1,0.5,1.8,58.9621322109301,202.6216,100333,6600,46400,2.3067269,37.44842882,130.48368471,2.36091506247445,53.59279532,2.04436935752555,4.61274675,46.40720468,4.40528442,625066517.568446,78.87023511,42.26876367,0,NA,4.45680999755859,100.374565124512,43.9441604614258,2.95167994499207
"41",2004,"AGO","Angola","Sub-Saharan Africa","Lower middle income",880,NA,NA,37.6,15.6,77.8,1.313,0.083,180000,25000,160000,21000,9900,16000,4900,59000,0.25,1,0.5,1.8,58.9887917839332,199.0672,102676,6500,47568,3.55230045,53.4564375,153.300672,2.29947955487772,48.84901644,2.40784051512228,6.25413121,51.15098356,4.70732007,924555814.734326,78.34099688,38.26880645,0,NA,4.67072010040283,100.733993530273,46.8372993469238,2.21985006332397
"42",2005,"AGO","Angola","Sub-Saharan Africa","Lower middle income",1170,NA,0.8,39,16.3,79,NA,NA,190000,26000,170000,21000,11000,17000,5200,67000,0.25,1,0.5,1.9,59.010614953088,195.5128,104649,6300,48603,3.70401935,64.68519176,157.52116297,2.07931364036576,50.66603062,2.02464637963424,6.08001916,49.33396938,4.10396002,1158702088.31212,76.18751012,38.60118721,0,NA,2.12011003494263,100.933471679688,46.620288848877,2.74878001213074
"43",2006,"AGO","Angola","Sub-Saharan Africa","Lower middle income",1630,NA,NA,40.4,17.1,80.2,NA,NA,2e+05,27000,190000,22000,11000,18000,5200,76000,0.25,1.1,0.5,2,59.0310226173949,191.9584,106123,6100,49499,5.1712696,102.37922537,209.61483939,1.52000214467038,33.46225783,3.02243534532962,9.56466881,66.53774217,4.54243749,1898261028.7315,67.91130557,22.72465616,3,NA,2.28146004676819,105.005722045898,50.2187595367431,2.69178009033203
"44",2007,"AGO","Angola","Sub-Saharan Africa","Lower middle income",2360,49.9,NA,41.8,17.9,81.4,NA,NA,220000,27000,2e+05,21000,11000,20000,5400,84000,0.24,1,0.5,2,59.0758656451605,188.404,107035,6000,50458,2.88113904,106.60251904,189.90186908,1.1693476108495,34.56426328,2.2137640191505,6.4167073,65.43573672,3.38311163,2045052811.14224,77.95150931,26.94336491,5,NA,3.52542996406555,105.210403442383,53.7090759277343,9.93446493148804
"45",2008,"AGO","Angola","Sub-Saharan Africa","Lower middle income",3020,NA,NA,43.3,18.6,82.6,NA,NA,230000,28000,210000,22000,11000,21000,5500,90000,0.24,1.1,0.5,2.1,59.1258926905802,185.912,107705,5800,50990,2.37573636,163.11605053,242.15426374,1.1285994978321,29.35289689,2.7163344521679,6.46450754,70.64710311,3.84493395,3236589616.73807,67.05557968,19.68275516,7,NA,4.10490489006042,111.913757324219,23.5545902252197,10.6147804260254
"46",2009,"AGO","Angola","Sub-Saharan Africa","Lower middle income",3510,NA,NA,44.7,19.4,83.8,1.66,0.166,240000,29000,220000,23000,12000,22000,5600,97000,0.24,1.1,0.5,2.1,59.1655384059933,183.42,108082,5700,51640,3.02408591,160.83547792,274.73451017,1.70785657263892,39.06552943,2.66391720736108,6.35844866,60.93447057,4.37177378,3300360572.87947,75.38289317,29.44872632,10,NA,4.61509013175964,111.158340454102,24.9924507141113,10.520580291748
"47",2010,"AGO","Angola","Sub-Saharan Africa","Lower middle income",3570,NA,NA,46.2,20.2,85,NA,NA,260000,28000,230000,23000,12000,23000,5700,1e+05,0.23,1,0.5,2.1,59.2123763309957,180.928,108137,5700,52107,2.35022385,131.79621085,215.70576571,1.32989142638432,39.21657726,2.06125466361568,5.43233059,60.78342274,3.39114609,2796709531.69995,70.77174594,27.75425643,12,20,3.43897008895874,113.507873535156,28.7813091278076,14.9846496582031
"48",2011,"AGO","Angola","Sub-Saharan Africa","Lower middle income",3740,NA,NA,47.6,20.9,86.2,NA,NA,270000,29000,240000,23000,13000,24000,5900,110000,0.22,1,0.5,2.2,59.2592290234624,178.436,107441,5600,52434,2.41810365,160.36072269,220.50028242,1.2244884261322,36.23194148,2.1550942738678,5.58480061,63.76805852,3.3795827,3518682444.06757,68.97822311,24.99214943,14,14,3.24769997596741,128.704147338867,28.8987197875977,6.94609022140503
"49",2012,"AGO","Angola","Sub-Saharan Africa","Lower middle income",4140,NA,NA,49.1,21.7,87.4,NA,NA,280000,29000,260000,23000,13000,25000,6000,120000,0.21,1,0.5,2.2,59.2973917384251,175.944,106694,5600,52604,1.77870731,168.02721742,223.24452883,1.16747771667537,35.32679008,2.13731650332463,5.57303128,64.67320992,3.30479422,3811803620.27785,67.87318317,23.97741694,16,17,2.96538996696472,109.868606567383,62.371000289917,17.1624393463135
"50",2013,"AGO","Angola","Sub-Saharan Africa","Lower middle income",4720,NA,NA,50.6,22.5,88.6,NA,NA,290000,28000,270000,23000,13000,26000,4900,120000,0.21,1,0.5,2.2,59.3585905586264,171.2734,105861,5500,52860,1.85804874,225.73659246,301.98914889,1.18262329756933,27.74136773,3.08040839243067,7.42322054,72.25863227,4.26303169,5293117218.73252,67.00394723,18.58781139,21,29,3.15189504623413,107.974731445313,62.9931182861328,9.92356967926025
"51",2014,"AGO","Angola","Sub-Saharan Africa","Lower middle income",4800,NA,NA,51.1,22.5,88.6,NA,NA,3e+05,27000,280000,22000,12000,25000,4200,130000,0.2,1,0.5,2.2,59.5172532484296,166.6028,105154,5400,53041,2.63035475,179.35785371,239.01023293,1.18207073517153,35.74468814,2.12491219482846,5.0042944,64.25531186,3.30698293,4345396705.43222,67.03526826,23.96154759,25,44,4.71947002410889,108.969119094587,63.5311584472656,20.7060108184814
"52",2015,"AGO","Angola","Sub-Saharan Africa","Lower middle income",4180,NA,NA,51.6,22.5,88.6,NA,NA,320000,26000,290000,22000,12000,25000,4300,130000,0.19,0.9,0.5,2.2,59.7091545969502,166.6028,104291,5400,53164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,40,2.4666600227356,109.53751373291,63.5311584472656,26.7124500274658
"53",1990,"ARG","Argentina","Latin America & Caribbean","Upper middle income",3170,NA,4.5942997932,87.4,69.9,90.1,NA,2.6800000668,26000,5500,26000,5400,500,500,200,1000,0.03,0.1,0.2,0.2,29.6695178849145,73.2812,18204,510,11463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06737995147705,106.561569213867,71.1518478393555,12.9146399497986
"54",1991,"ARG","Argentina","Latin America & Caribbean","Upper middle income",3950,NA,NA,87.9,71.1,90.3,NA,NA,31000,5600,30000,5400,1000,500,200,1200,0.03,0.1,0.2,0.2,29.8560084352038,73.2416,17792,510,11284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20490002632141,109.085693359375,71.6371383666992,38.2239990234375
"55",1992,"ARG","Argentina","Latin America & Caribbean","Upper middle income",6280,95.8,NA,88.3,72.3,90.6,2.065,2.657,35000,5600,35000,5500,1000,500,200,1900,0.03,0.1,0.2,0.2,30.035732810789,73.202,17137,500,11027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93407988548279,110.345829726213,70.0039559002484,15.4235696792603
"56",1993,"ARG","Argentina","Latin America & Caribbean","Upper middle income",7070,NA,4.5999999046,88.7,73.5,90.8,NA,NA,39000,5700,39000,5500,1300,500,200,2900,0.03,0.1,0.2,0.2,30.2000258097819,72.5218,16400,470,10666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94531989097595,111.061762427285,67.7171978214371,13.4150500297546
"57",1994,"ARG","Argentina","Latin America & Caribbean","Upper middle income",7540,NA,NA,89.1,74.7,91,2.157,NA,43000,5700,42000,5500,1600,1000,500,4200,0.03,0.1,0.2,0.2,30.3488563823522,71.8416,15616,460,10198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36142992973327,111.943511962891,68.7301483154297,36.7881393432617
"58",1995,"ARG","Argentina","Latin America & Caribbean","Upper middle income",7330,NA,NA,89.5,75.9,91.3,NA,2.68,47000,5700,46000,5500,1800,1000,500,5700,0.03,0.1,0.2,0.3,30.4685460715218,71.1614,14941,450,9535,0.01165773,612.95824318,646.08439673,3.3445496543595,40.24248076,4.9664430856405,19.42932517,59.75751924,8.31099274,21450362161.5331,69.52491309,27.97854978,NA,NA,3.74213004112244,112.580461635088,72.2767966090137,13.695969581604
"59",1996,"ARG","Argentina","Latin America & Caribbean","Upper middle income",7700,NA,3.2899999619,89.9,77.1,91.5,NA,NA,51000,5700,50000,5500,1300,1000,200,6700,0.03,0.1,0.2,0.3,30.5182341650672,70.4812,14316,450,8912,0.0521978,616.81447153,661.95018813,3.39335237157692,42.28479853,4.63164121842309,18.2596477,57.71520147,8.02499359,21847373051.4574,70.38440715,29.76190476,NA,NA,3.73198008537292,111.36750793457,78.3755798339844,13.7884302139283
