"","year","Country.Code","Country.Name","SH.XPD.EXTR.ZS","NY.GNP.PCAP.CD","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SE.XPD.TOTL.GD.ZS","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","Region","IncomeGroup"
"11",2000,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,23.4,21.3,31.2,NA,NA,1900,500,1800,500,100,0,NA,100,100,1000,0.01,0.1,0.1,0.1,27.1828665568369,22.334810256958,NA,NA,153.8456,89393,11000,42488,"South Asia","Low income"
"12",2001,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400000006,23.9,21.7,32.2,0.215,0.186,2100,500,2000,500,200,0,NA,100,100,1000,0.01,0.1,0.1,0.1,27.3809523809524,22.2023792266846,13.0487403869629,NA,150.0468,89702,11000,42876,"South Asia","Low income"
"13",2002,"AFG","Afghanistan",NA,NA,15.48190406,75.98351391,7.2123498103069,92.90585908,0.550723349693097,8.98702764,7.09414092,7.76307316,332660895.501474,99.5332973,92.47226492,NA,NA,NA,24.5,22.1,33.2,NA,NA,2300,500,2200,500,200,0,NA,100,100,1100,0.01,0.1,0.1,0.1,27.51228226887,73.3095932006836,NA,NA,146.248,90059,10000,43497,"South Asia","Low income"
"14",2003,"AFG","Afghanistan",4.2783668,NA,19.33236793,89.44017773,8.20815301855031,93.1046197,0.607900411449694,5.57518482,6.8953803,8.81605343,435120719.370515,99.55380639,92.68919283,NA,14.3,0.4,25.1,22.5,34.2,NA,NA,2600,500,2500,500,200,0,NA,100,100,1300,0.01,0.1,0.1,0.1,27.632109721662,99.2484893798828,13.3170795440674,1.25683999061584,140.4764,90292,9800,43979,"South Asia","Low income"
"15",2004,"AFG","Afghanistan",6.23398506,220,20.89000224,87.52090345,7.81724842469336,88.96675659,0.969458795306644,6.98490607,11.03324341,8.78670722,490911919.220818,99.54271982,88.55992924,NA,NA,NA,25.7,22.9,35.1,NA,NA,2800,500,2700,500,200,0,NA,100,100,1500,0.01,0.1,0.1,0.1,27.7859237536657,111.260559082031,18.6647891998291,1.25602996349335,134.7048,89873,9400,44213,"South Asia","Low income"
"16",2005,"AFG","Afghanistan",13.37485275,250,21.89580296,88.32306226,7.26618517502382,90.06062465,0.801919174976177,5.49062004,9.93937535,8.06810435,534256453.67157,99.51839287,89.62688627,NA,NA,NA,26.3,23.3,36.1,0.5,0.2,3100,500,3000,500,200,0,NA,200,100,1700,0.01,0.1,0.1,0.1,27.9635258358663,104.171371459961,19.7837009429932,NA,128.9332,88704,8900,43987,"South Asia","Low income"
"17",2006,"AFG","Afghanistan",24.60711012,280,22.18140928,86.85601592,6.37155151704114,85.70858086,1.06242003295885,6.29710557,14.29141914,7.43397155,558608071.453688,99.44692333,85.23454669,NA,18.9,NA,26.9,23.7,37.1,0.374,0.136,3300,500,3200,500,200,0,NA,200,100,1900,0.01,0.1,0.1,0.1,28.1486146095718,107.817420959473,29.9304599761963,NA,123.1616,88007,8500,44007,"South Asia","Low income"
"18",2007,"AFG","Afghanistan",21.26280978,340,26.98894729,88.71198979,6.20618027566277,92.23972169,0.522136074337234,2.94919278,7.76027831,6.72831635,698407670.927007,99.48917338,91.76853664,NA,NA,0.42,27.4,24.2,38.1,0.416,0.146,3500,1000,3400,500,200,0,NA,200,100,2100,0.01,0.1,0.1,0.1,28.3617146212566,104.690818786621,30.0831604003906,NA,117.39,86945,8000,43856,"South Asia","Low income"
"19",2008,"AFG","Afghanistan",21.07825209,370,33.80518937,111.46310638,6.94250928983089,83.36252977,1.38558405016911,6.92608989,16.63747023,8.32809334,896809113.134828,99.71497974,83.12492967,NA,24,0.42,28,24.6,39.1,0.413,0.145,3800,1000,3700,1000,500,0,NA,200,100,2400,0.01,0.1,0.1,0.1,28.509485094851,106.453773498535,40.2233810424805,NA,111.4708,85513,7500,43469,"South Asia","Low income"
"20",2009,"AFG","Afghanistan",21.11617558,470,43.52543981,148.00120214,6.83284386338264,72.54342459,2.58612677661736,12.7289712,27.45657541,9.41897064,1184209306.91487,99.68211644,72.31282097,NA,NA,0.4,28.7,25,40.1,0.5,0.175,4200,1000,4000,1000,500,1,NA,200,100,2600,0.01,0.1,0.1,0.1,28.6072144288577,102.225288391113,46.7327613830566,3.9033899307251,105.5516,83723,7000,42791,"South Asia","Low income"
"21",2010,"AFG","Afghanistan",25.54378668,520,52.8857608,153.44620572,6.34234622663813,68.95561448,2.85537650336187,14.40415287,31.04438552,9.19772273,1478802590.78948,99.62761787,68.69883609,4.51115989685059,34.3,0.4,29.3,25.4,41.1,0.073,0.194,4500,1000,4300,1000,500,1,2,200,100,2800,0.01,0.1,0.1,0.1,28.6342592592593,105.520927429199,53.2468299865723,NA,99.6324,81775,6400,42311,"South Asia","Low income"
"22",2011,"AFG","Afghanistan",20.81768156,570,52.38254929,141.0557326,5.79189922951505,73.57603146,2.08009266048495,10.17410763,26.42396854,7.87199189,1509097610.44718,99.56381683,73.25510519,4.08791017532349,38.6,NA,29.9,25.8,42.1,NA,0.234,4900,1000,4700,1000,500,2,1,200,100,3100,0.01,0.1,0.1,0.1,28.6261165461506,102.809631347656,54.6161804199219,3.75598001480103,93.7132,78764,5900,41052,"South Asia","Low income"
"23",2012,"AFG","Afghanistan",21.64744429,720,58.16803071,160.36802664,5.59834667313982,65.71668103,2.92056600686017,11.668976,34.28331897,8.51891268,1729149589.84956,99.56381683,65.43003593,3.12561988830566,NA,0.5,30.5,26.2,43.1,NA,0.225,5300,1000,5200,1000,500,3,1,200,100,3300,0.01,0.1,0.1,0.1,28.5908385093168,108.928520202637,56.6773414611816,NA,87.794,75586,5400,39588,"South Asia","Low income"
"24",2013,"AFG","Afghanistan",19.35046696,730,53.36597308,156.52934858,5.48447167066433,67.41932771,2.65039388933567,10.591285,32.58067229,8.13486556,1637401469.0981,99.56381683,67.12525595,4.54436016082764,NA,NA,31.1,26.6,44.1,NA,0.266,5900,1000,5600,1000,500,4,3,500,100,3500,0.01,0.1,0.1,0.1,28.5385296722764,110.065437316895,56.6886596679688,NA,82.2638,72378,5000,38263,"South Asia","Low income"
"25",2014,"AFG","Afghanistan",22.99570451,670,56.57452735,166.51672658,5.24944009755562,64.15625061,2.93283372244438,11.99862788,35.84374939,8.18227382,1789311203.25348,99.56381683,63.87641185,4.80434989929199,NA,NA,31.8,27,45.1,NA,NA,6400,1000,6200,1000,500,4,4,500,100,3700,0.01,0.1,0.1,0.1,28.5320356853204,111.744132995605,55.6561584472656,8.66279983520508,76.7336,69579,4600,37038,"South Asia","Low income"
"26",2015,"AFG","Afghanistan",NA,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,27,45.1,NA,NA,6900,1000,6700,1000,500,5,4,500,100,4000,0.01,0.1,0.1,0.1,28.5756942370857,NA,NA,NA,NA,67399,4300,36242,"South Asia","Low income"
"27",1990,"AGO","Angola",NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2913000584,22.4,7.9,64.6,NA,0.0421000011,28000,6200,26000,5400,1100,NA,NA,1800,1000,5900,0.1,0.3,0.2,0.5,54.1673050406006,78.2584991455078,10.3700199127197,0.568279981613159,228.642,73548,6800,32635,"Sub-Saharan Africa","Lower middle income"
"28",1991,"AGO","Angola",NA,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,7.9,64.6,NA,NA,33000,7400,31000,6400,1400,NA,NA,2200,1000,7000,0.12,0.4,0.2,0.5,55.1751719724844,71.9317626953125,11.0046501159668,0.572730004787445,228.006,75469,7100,33546,"Sub-Saharan Africa","Lower middle income"
"29",1992,"AGO","Angola",NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,7.9,64.6,NA,NA,40000,8800,37000,7500,1600,NA,NA,2700,1200,8300,0.13,0.4,0.2,0.6,56.0114708404803,69.3685607910156,12.4260396957397,0.535279989242554,227.37,77738,7300,34674,"Sub-Saharan Africa","Lower middle income"
"30",1993,"AGO","Angola",NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,7.9,64.6,NA,NA,48000,10000,44000,8800,2000,NA,NA,3300,1500,9800,0.15,0.5,0.3,0.7,56.7158122548357,NA,NA,NA,225.38,80160,7600,35782,"Sub-Saharan Africa","Lower middle income"
"31",1994,"AGO","Angola",NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,7.9,65.8,NA,NA,56000,12000,52000,10000,2400,NA,NA,4000,1700,12000,0.17,0.5,0.3,0.8,57.2781426607607,NA,NA,NA,223.39,82565,7700,36849,"Sub-Saharan Africa","Lower middle income"
"32",1995,"AGO","Angola",4.59513251,460,18.00618425,91.4636206,1.79975973785657,27.86489777,4.65911821214343,5.17679801,72.13510223,6.45887795,234848645.386022,72.69391399,20.25608482,NA,NA,NA,25.5,8.7,67,NA,NA,66000,13000,61000,11000,2800,NA,NA,4800,2000,14000,0.19,0.6,0.3,0.9,57.7242429701446,NA,NA,NA,221.4,84777,7800,38019,"Sub-Saharan Africa","Lower middle income"
"33",1996,"AGO","Angola",4.55191649,460,13.75622193,60.22757641,1.07495030577892,38.19014653,1.73978177422108,2.81774827,61.80985347,2.81473208,184674707.021845,55.17276468,21.07055968,NA,22.5,NA,26.8,9.4,68.2,NA,NA,76000,15000,71000,13000,3300,NA,NA,5600,2300,16000,0.2,0.7,0.4,1.1,58.0883186041242,NA,NA,NA,219.41,86751,7800,39124,"Sub-Saharan Africa","Lower middle income"
"34",1997,"AGO","Angola",13.0350989,440,19.27911944,79.03869714,1.46333985925588,42.01909381,2.01921944074412,4.09428019,57.98090619,3.4825593,266087861.649024,66.71993643,28.03511268,NA,NA,NA,28.1,10.2,69.4,1.19,0.077,87000,17000,81000,14000,3900,NA,NA,6600,2600,20000,0.21,0.7,0.4,1.2,58.3553455609708,NA,NA,NA,217.42,88500,7700,40093,"Sub-Saharan Africa","Lower middle income"
"35",1998,"AGO","Angola",7.32840213,430,15.14206043,79.53522966,1.92089672075927,57.58770553,1.41470538924073,3.29001253,42.41229447,3.33560211,214831162.120842,74.33261559,42.80644778,2.5914900302887,NA,NA,29.4,11,70.6,NA,NA,99000,18000,91000,15000,4500,NA,NA,7600,3000,23000,0.23,0.8,0.4,1.3,58.5512549436344,78.3684005737305,12.0281200408936,0.598010003566742,215.1712,90296,7600,40838,"Sub-Saharan Africa","Lower middle income"
"36",1999,"AGO","Angola",2.16156344,360,14.23259059,82.08157415,1.24604639329818,36.8888062,2.13179778670182,2.6157028,63.1111938,3.37784418,207824045.868018,61.14668122,22.55628073,NA,NA,NA,30.8,11.7,71.8,NA,NA,110000,19000,1e+05,16000,5300,NA,NA,8700,3300,27000,0.23,0.9,0.4,1.4,58.6935929611437,NA,12.0243301391602,0.545960009098053,212.9224,92221,7400,41926,"Sub-Saharan Africa","Lower middle income"
"37",2000,"AGO","Angola",3.07578499,390,16.8991726,69.20173589,1.11006719606174,39.82612936,1.67721646393826,2.86214414,60.17387064,2.78728366,254478522.684224,56.54908681,22.52131246,2.60753011703491,NA,NA,32.1,12.5,73,NA,NA,120000,21000,110000,17000,6100,0,NA,10000,3600,32000,0.24,0.9,0.5,1.5,58.7963773955085,NA,13.7794504165649,NA,210.6736,94432,7200,43116,"Sub-Saharan Africa","Lower middle income"
"38",2001,"AGO","Angola",5.8242167,430,30.91774474,137.88117252,2.57215432567534,47.7690919,2.81240339432466,5.77495563,52.2309081,5.38455772,481166399.64433,80.49705296,38.45271121,NA,44.7,NA,33.5,13.3,74.2,NA,NA,140000,22000,130000,18000,7000,0,NA,11000,4000,38000,0.25,0.9,0.5,1.6,58.8706546114408,NA,15.5735902786255,NA,208.4248,96091,7000,44214,"Sub-Saharan Africa","Lower middle income"
"39",2002,"AGO","Angola",7.75347013,510,28.19059742,103.88967134,1.9487032082189,53.62536341,1.6852175417811,3.37718946,46.37463659,3.63392075,454141954.414473,74.68002223,40.04743331,NA,NA,NA,34.8,14,75.4,NA,NA,150000,23000,140000,19000,7900,0,NA,13000,4300,44000,0.25,1,0.5,1.7,58.9239224761354,NA,16.8075695037842,0.796679973602295,206.176,98109,6800,45094,"Sub-Saharan Africa","Lower middle income"
"40",2003,"AGO","Angola",2.3067269,620,37.44842882,130.48368471,2.36091506247445,53.59279532,2.04436935752555,4.61274675,46.40720468,4.40528442,625066517.568446,78.87023511,42.26876367,NA,NA,NA,36.2,14.8,76.6,NA,NA,160000,24000,150000,20000,8900,0,NA,14000,4600,51000,0.25,1,0.5,1.8,58.9621322109301,NA,NA,2.95167994499207,202.6216,100333,6600,46400,"Sub-Saharan Africa","Lower middle income"
"41",2004,"AGO","Angola",3.55230045,880,53.4564375,153.300672,2.29947955487772,48.84901644,2.40784051512228,6.25413121,51.15098356,4.70732007,924555814.734326,78.34099688,38.26880645,NA,NA,NA,37.6,15.6,77.8,1.313,0.083,180000,25000,160000,21000,9900,0,NA,16000,4900,59000,0.25,1,0.5,1.8,58.9887917839332,NA,NA,2.21985006332397,199.0672,102676,6500,47568,"Sub-Saharan Africa","Lower middle income"
"42",2005,"AGO","Angola",3.70401935,1170,64.68519176,157.52116297,2.07931364036576,50.66603062,2.02464637963424,6.08001916,49.33396938,4.10396002,1158702088.31212,76.18751012,38.60118721,2.12011003494263,NA,0.8,39,16.3,79,NA,NA,190000,26000,170000,21000,11000,0,NA,17000,5200,67000,0.25,1,0.5,1.9,59.010614953088,NA,NA,2.74878001213074,195.5128,104649,6300,48603,"Sub-Saharan Africa","Lower middle income"
"43",2006,"AGO","Angola",5.1712696,1630,102.37922537,209.61483939,1.52000214467038,33.46225783,3.02243534532962,9.56466881,66.53774217,4.54243749,1898261028.7315,67.91130557,22.72465616,2.28146004676819,NA,NA,40.4,17.1,80.2,NA,NA,2e+05,27000,190000,22000,11000,3,NA,18000,5200,76000,0.25,1.1,0.5,2,59.0310226173949,NA,NA,2.69178009033203,191.9584,106123,6100,49499,"Sub-Saharan Africa","Lower middle income"
"44",2007,"AGO","Angola",2.88113904,2360,106.60251904,189.90186908,1.1693476108495,34.56426328,2.2137640191505,6.4167073,65.43573672,3.38311163,2045052811.14224,77.95150931,26.94336491,NA,49.9,NA,41.8,17.9,81.4,NA,NA,220000,27000,2e+05,21000,11000,5,NA,20000,5400,84000,0.24,1,0.5,2,59.0758656451605,105.210403442383,NA,NA,188.404,107035,6000,50458,"Sub-Saharan Africa","Lower middle income"
"45",2008,"AGO","Angola",2.37573636,3020,163.11605053,242.15426374,1.1285994978321,29.35289689,2.7163344521679,6.46450754,70.64710311,3.84493395,3236589616.73807,67.05557968,19.68275516,NA,NA,NA,43.3,18.6,82.6,NA,NA,230000,28000,210000,22000,11000,7,NA,21000,5500,90000,0.24,1.1,0.5,2.1,59.1258926905802,111.913757324219,23.5545902252197,NA,185.912,107705,5800,50990,"Sub-Saharan Africa","Lower middle income"
"46",2009,"AGO","Angola",3.02408591,3510,160.83547792,274.73451017,1.70785657263892,39.06552943,2.66391720736108,6.35844866,60.93447057,4.37177378,3300360572.87947,75.38289317,29.44872632,NA,NA,NA,44.7,19.4,83.8,1.66,0.166,240000,29000,220000,23000,12000,10,NA,22000,5600,97000,0.24,1.1,0.5,2.1,59.1655384059933,111.158340454102,24.9924507141113,NA,183.42,108082,5700,51640,"Sub-Saharan Africa","Lower middle income"
"47",2010,"AGO","Angola",2.35022385,3570,131.79621085,215.70576571,1.32989142638432,39.21657726,2.06125466361568,5.43233059,60.78342274,3.39114609,2796709531.69995,70.77174594,27.75425643,3.43897008895874,NA,NA,46.2,20.2,85,NA,NA,260000,28000,230000,23000,12000,12,20,23000,5700,1e+05,0.23,1,0.5,2.1,59.2123763309957,113.507873535156,28.7813091278076,NA,180.928,108137,5700,52107,"Sub-Saharan Africa","Lower middle income"
"48",2011,"AGO","Angola",2.41810365,3740,160.36072269,220.50028242,1.2244884261322,36.23194148,2.1550942738678,5.58480061,63.76805852,3.3795827,3518682444.06757,68.97822311,24.99214943,NA,NA,NA,47.6,20.9,86.2,NA,NA,270000,29000,240000,23000,13000,14,14,24000,5900,110000,0.22,1,0.5,2.2,59.2592290234624,128.704147338867,28.8987197875977,6.94609022140503,178.436,107441,5600,52434,"Sub-Saharan Africa","Lower middle income"
"49",2012,"AGO","Angola",1.77870731,4140,168.02721742,223.24452883,1.16747771667537,35.32679008,2.13731650332463,5.57303128,64.67320992,3.30479422,3811803620.27785,67.87318317,23.97741694,NA,NA,NA,49.1,21.7,87.4,NA,NA,280000,29000,260000,23000,13000,16,17,25000,6000,120000,0.21,1,0.5,2.2,59.2973917384251,NA,NA,NA,175.944,106694,5600,52604,"Sub-Saharan Africa","Lower middle income"
"50",2013,"AGO","Angola",1.85804874,4720,225.73659246,301.98914889,1.18262329756933,27.74136773,3.08040839243067,7.42322054,72.25863227,4.26303169,5293117218.73252,67.00394723,18.58781139,NA,NA,NA,50.6,22.5,88.6,NA,NA,290000,28000,270000,23000,13000,21,29,26000,4900,120000,0.21,1,0.5,2.2,59.3585905586264,NA,NA,9.92356967926025,171.2734,105861,5500,52860,"Sub-Saharan Africa","Lower middle income"
"51",2014,"AGO","Angola",2.63035475,4800,179.35785371,239.01023293,1.18207073517153,35.74468814,2.12491219482846,5.0042944,64.25531186,3.30698293,4345396705.43222,67.03526826,23.96154759,NA,NA,NA,51.1,22.5,88.6,NA,NA,3e+05,27000,280000,22000,12000,25,44,25000,4200,130000,0.2,1,0.5,2.2,59.5172532484296,NA,NA,NA,166.6028,105154,5400,53041,"Sub-Saharan Africa","Lower middle income"
"52",2015,"AGO","Angola",NA,4180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,22.5,88.6,NA,NA,320000,26000,290000,22000,12000,29,40,25000,4300,130000,0.19,0.9,0.5,2.2,59.7091545969502,NA,NA,NA,NA,104291,5400,53164,"Sub-Saharan Africa","Lower middle income"
"53",1990,"ARG","Argentina",NA,3170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06737995147705,NA,4.5942997932,87.4,69.9,90.1,NA,2.6800000668,26000,5500,26000,5400,500,NA,NA,500,200,1000,0.03,0.1,0.2,0.2,29.6695178849145,106.561569213867,71.1518478393555,NA,73.2812,18204,510,11463,"Latin America & Caribbean","Upper middle income"
"54",1991,"ARG","Argentina",NA,3950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9,71.1,90.3,NA,NA,31000,5600,30000,5400,1000,NA,NA,500,200,1200,0.03,0.1,0.2,0.2,29.8560084352038,109.085693359375,71.6371383666992,38.2239990234375,73.2416,17792,510,11284,"Latin America & Caribbean","Upper middle income"
"55",1992,"ARG","Argentina",NA,6280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.8,NA,88.3,72.3,90.6,2.065,2.657,35000,5600,35000,5500,1000,NA,NA,500,200,1900,0.03,0.1,0.2,0.2,30.035732810789,NA,NA,NA,73.202,17137,500,11027,"Latin America & Caribbean","Upper middle income"
"56",1993,"ARG","Argentina",NA,7070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5999999046,88.7,73.5,90.8,NA,NA,39000,5700,39000,5500,1300,NA,NA,500,200,2900,0.03,0.1,0.2,0.2,30.2000258097819,NA,NA,NA,72.5218,16400,470,10666,"Latin America & Caribbean","Upper middle income"
"57",1994,"ARG","Argentina",NA,7540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.1,74.7,91,2.157,NA,43000,5700,42000,5500,1600,NA,NA,1000,500,4200,0.03,0.1,0.2,0.2,30.3488563823522,111.943511962891,68.7301483154297,36.7881393432617,71.8416,15616,460,10198,"Latin America & Caribbean","Upper middle income"
"58",1995,"ARG","Argentina",0.01165773,7330,612.95824318,646.08439673,3.3445496543595,40.24248076,4.9664430856405,19.42932517,59.75751924,8.31099274,21450362161.5331,69.52491309,27.97854978,NA,NA,NA,89.5,75.9,91.3,NA,2.68,47000,5700,46000,5500,1800,NA,NA,1000,500,5700,0.03,0.1,0.2,0.3,30.4685460715218,NA,NA,NA,71.1614,14941,450,9535,"Latin America & Caribbean","Upper middle income"
"59",1996,"ARG","Argentina",0.0521978,7700,616.81447153,661.95018813,3.39335237157692,42.28479853,4.63164121842309,18.2596477,57.71520147,8.02499359,21847373051.4574,70.38440715,29.76190476,3.73198008537292,NA,3.2899999619,89.9,77.1,91.5,NA,NA,51000,5700,50000,5500,1300,NA,NA,1000,200,6700,0.03,0.1,0.2,0.3,30.5182341650672,111.36750793457,78.3755798339844,NA,70.4812,14316,450,8912,"Latin America & Caribbean","Upper middle income"
"60",1997,"ARG","Argentina",0.0449218,8110,683.68795122,751.22496329,3.80831731253788,45.54661657,4.55304429746212,18.03378461,54.45338343,8.36136161,24499250115.0425,63.21169192,28.79078695,NA,97.2,NA,90.2,78.3,91.8,NA,NA,55000,5700,54000,5500,1300,NA,NA,1000,200,7200,0.03,0.1,0.2,0.3,30.5397648365892,108.266799926758,75.1673202514648,NA,69.801,13712,460,8378,"Latin America & Caribbean","Upper middle income"
"61",1998,"ARG","Argentina",0.04937691,7990,704.46065824,798.54125101,3.91171381572855,45.82647543,4.62421171427145,17.88195118,54.17352457,8.53592553,25530765893.5621,63.41713699,29.0618387,4.03986978530884,97.5,NA,90.6,79.5,92,0.802,3.009,58000,5700,58000,5500,1500,NA,NA,1000,200,7900,0.03,0.1,0.2,0.3,30.5812623479255,112.947067260742,81.4290771484375,46.0893898010254,68.8332,13228,440,7948,"Latin America & Caribbean","Upper middle income"
